"occ.ID","acceptedNameUsage","decimalLongitude","decimalLatitude"
1,"Bucco noanamae",-76.6514,5.6688
2,"Bucco noanamae",-76.859,8.0581
3,"Bucco noanamae",-76.837,8.0894
4,"Bucco noanamae",-77.1483,7.8106
5,"Bucco noanamae",-76.8348,8.0543
6,"Bucco noanamae",-77.3609,6.0527
7,"Bucco noanamae",-77.4195,5.6241
8,"Bucco noanamae",-77.4291,5.6191
9,"Bucco noanamae",-77.1355,7.8444
10,"Bucco noanamae",-76.9122,8.1963
11,"Bucco noanamae",-76.8709,8.0364
12,"Bucco noanamae",-77.4347,5.612
13,"Bucco noanamae",-77.4352,6.1129
14,"Bucco noanamae",-76.5985,5.682
15,"Bucco noanamae",-77.0347,7.8399
16,"Bucco noanamae",-76.6276,5.5714
17,"Bucco noanamae",-76.6305,5.6744
18,"Bucco noanamae",-77.4161,5.6265
19,"Bucco noanamae",-77.3922,5.6273
20,"Bucco noanamae",-76.6429,5.6136
