"acceptedNameUsage","decimalLatitude","decimalLongitude","occ.ID"
"Bucco noanamae",5.6688,-76.6514,1
"Bucco noanamae",8.0581,-76.859,2
"Bucco noanamae",8.0894,-76.837,3
"Bucco noanamae",7.8106,-77.1483,4
"Bucco noanamae",8.0543,-76.8348,5
"Bucco noanamae",6.0527,-77.3609,6
"Bucco noanamae",5.6241,-77.4195,7
"Bucco noanamae",5.6191,-77.4291,8
"Bucco noanamae",7.8444,-77.1355,9
"Bucco noanamae",8.1963,-76.9122,10
"Bucco noanamae",8.0364,-76.8709,11
"Bucco noanamae",5.612,-77.4347,12
"Bucco noanamae",6.1129,-77.4352,13
"Bucco noanamae",5.682,-76.5985,14
"Bucco noanamae",7.8399,-77.0347,15
"Bucco noanamae",5.5714,-76.6276,16
"Bucco noanamae",5.6744,-76.6305,17
"Bucco noanamae",5.6265,-77.4161,18
"Bucco noanamae",5.6273,-77.3922,19
"Bucco noanamae",5.6136,-76.6429,20
